Temp,Prev Temp,Dummy,Simulation Cycle,Pipe Node,Soil Modulus (E_soil),Pressure at Node,Spring Stiffness,Pipe Burst Pressure,Burst Occurred,Constant Burst Pressure,Displacement,New Radius,New Volume
0,5,,Analysis_4,"[-50.0, 1.27, 1.27]",400000000.0,342690000.0,10000000.0,345000000.0,False,345000000.0,0.02362071371794872,1.269895225,5.066238758122244
5,10,,Analysis_5,"[-50.0, -1.27, -1.27]",200000000.0,342690000.0,10000000.0,345000000.0,False,345000000.0,0.02362071371794872,1.269895225,5.066238758122244
5,10,,Analysis_5,"[50.0, -1.27, -1.27]",200000000.0,342690000.0,10000000.0,345000000.0,False,345000000.0,0.02362071371794872,1.269895225,5.066238758122244
5,10,,Analysis_5,"[50.0, 1.27, -1.27]",200000000.0,342690000.0,10000000.0,345000000.0,False,345000000.0,0.02362071371794872,1.269895225,5.066238758122244
5,10,,Analysis_5,"[-50.0, 1.27, -1.27]",200000000.0,342690000.0,10000000.0,345000000.0,False,345000000.0,0.02362071371794872,1.269895225,5.066238758122244
5,10,,Analysis_5,"[-50.0, -1.27, 1.27]",200000000.0,342690000.0,10000000.0,345000000.0,False,345000000.0,0.02362071371794872,1.269895225,5.066238758122244
5,10,,Analysis_5,"[50.0, -1.27, 1.27]",200000000.0,342690000.0,10000000.0,345000000.0,False,345000000.0,0.02362071371794872,1.269895225,5.066238758122244
5,10,,Analysis_5,"[50.0, 1.27, 1.27]",200000000.0,342690000.0,10000000.0,345000000.0,False,345000000.0,0.02362071371794872,1.269895225,5.066238758122244
5,10,,Analysis_5,"[-50.0, 1.27, 1.27]",200000000.0,342690000.0,10000000.0,345000000.0,False,345000000.0,0.02362071371794872,1.269895225,5.066238758122244
10,15,,Analysis_6,"[-50.0, -1.27, -1.27]",100000000.0,342690000.0,10000000.0,345000000.0,False,345000000.0,0.02362071371794872,1.269895225,5.066238758122244
10,15,,Analysis_6,"[50.0, -1.27, -1.27]",100000000.0,342690000.0,10000000.0,345000000.0,False,345000000.0,0.02362071371794872,1.269895225,5.066238758122244
10,15,,Analysis_6,"[50.0, 1.27, -1.27]",100000000.0,342690000.0,10000000.0,345000000.0,False,345000000.0,0.02362071371794872,1.269895225,5.066238758122244
10,15,,Analysis_6,"[-50.0, 1.27, -1.27]",100000000.0,342690000.0,10000000.0,345000000.0,False,345000000.0,0.02362071371794872,1.269895225,5.066238758122244
10,15,,Analysis_6,"[-50.0, -1.27, 1.27]",100000000.0,342690000.0,10000000.0,345000000.0,False,345000000.0,0.02362071371794872,1.269895225,5.066238758122244
10,15,,Analysis_6,"[50.0, -1.27, 1.27]",100000000.0,342690000.0,10000000.0,345000000.0,False,345000000.0,0.02362071371794872,1.269895225,5.066238758122244
10,15,,Analysis_6,"[50.0, 1.27, 1.27]",100000000.0,342690000.0,10000000.0,345000000.0,False,345000000.0,0.02362071371794872,1.269895225,5.066238758122244
